text_score,text_score_expansion,hashtag,hasURL,isReply,length,tweet_topic_time_diff,semantic_overlap,#entityTypes,#entities,organization_entities,person_entities,work_entities,event_entities,species_entities,places_entities,nFollowers,nFriends,nFavorties,nListed,isVerified,isGeoEnabled,twitterAge,#tweetsPosted,relevanceJudge
-9.06819,-7.60786,0,1,0,116,1,0,1,3,0,0,0,0,0,1,7212,240,4,248,0,0,2.999663,13491,0
-9.20394,-7.70955,0,1,1,100,3,0,2,4,2,0,1,0,0,0,358,343,4,1,0,0,2.078992,2385,0
-9.19799,-7.70508,1,1,0,49,0,0,0,1,0,0,0,0,0,0,482,19,1,33,0,0,1.400101,172608,0
-16,-16,0,1,0,71,16,0,0,3,0,0,0,0,0,0,17,20,0,0,0,0,2.512816,3101,0
-16,-16,0,1,0,14,15,0,0,0,0,0,0,0,0,0,376,618,102,5,0,0,2.601267,1192,0
-9.19918,-7.70553,1,1,0,72,10,0,0,1,0,0,0,0,0,0,233,242,1,20,0,0,1.826264,2427,0
-9.12424,-7.64933,1,1,0,79,10,0,1,3,0,0,1,0,0,0,422,723,127,10,0,1,1.38555,17265,0
-9.1844,-7.69457,0,1,0,64,0,0,2,5,1,1,0,0,0,0,2081,2170,13,121,0,1,2.86935,37311,0
-9.18281,-7.69338,0,1,0,52,0,0,1,2,1,0,0,0,0,0,43,151,0,2,0,0,1.686245,313,0
-9.18401,-7.69428,0,1,0,64,1,0,2,3,0,1,1,0,0,0,1058,2001,1,48,0,0,2.9966,36640,0
-16,-16,0,1,0,36,1,0,1,2,0,0,1,0,0,0,3705,3185,211,142,0,1,3.03972,11278,0
-16,-16,0,1,0,35,15,0,0,0,0,0,0,0,0,0,51,133,7,0,0,1,1.739474,6818,0
-16,-16,0,1,0,35,0,0,0,1,0,0,0,0,0,0,62,21,1,2,0,1,2.760667,2246,0
-9.18559,-7.69547,1,1,0,73,0,0,1,4,1,0,0,0,0,0,2315,1814,24,144,0,0,2.859692,38006,0
-9.1852,-7.69517,0,1,0,67,0,0,1,4,1,0,0,0,0,0,87,80,1397,1,0,0,1.355502,3170,0
-9.1844,-7.69457,0,1,0,65,0,0,0,2,0,0,0,0,0,0,26,298,2,1,0,0,2.378475,43,0
-9.1852,-7.69517,1,1,0,78,4,0,1,1,0,0,2,0,0,0,587,591,18,54,0,0,2.739539,23423,0
-9.18361,-7.69398,0,1,0,48,2,0,1,2,1,0,0,0,0,0,11,105,0,0,0,0,1.385979,242,0
-16,-16,0,1,0,34,7,0,0,0,0,0,0,0,0,0,83,130,1,1,0,0,3.610398,2389,0
-16,-16,0,1,0,36,14,0,2,4,0,0,1,0,0,3,748,1866,206,11,0,1,2.799047,6913,0
-9.18361,-7.69398,0,1,0,67,14,0,2,4,0,0,1,0,0,1,37,134,0,1,0,1,2.803597,182,0
-9.18361,-7.69398,0,1,0,67,14,0,2,4,0,0,1,0,0,1,23,109,7,0,0,0,1.552743,116,0
-9.1848,-7.69487,1,0,0,134,14,0,2,6,0,0,1,0,0,1,7243,2473,2,238,0,0,3.093538,6706,0
-16,-16,0,1,0,29,14,0,2,3,0,0,1,0,0,1,10,21,0,0,0,0,1.114427,47,0
-9.1848,-7.69487,0,1,0,78,14,0,1,4,0,0,0,0,0,2,198,103,5,8,0,0,1.708877,8026,0
-9.18401,-7.69428,0,1,0,67,0,0,0,3,0,0,0,0,0,0,4436,4724,2,21,0,0,3.419305,6861,0
-9.18639,-7.69606,0,1,0,93,0,0,1,2,0,2,0,0,0,0,51,142,1,0,0,0,1.998825,6025,0
-16,-16,0,1,0,36,0,0,0,1,0,0,0,0,0,0,7472,381,1,354,0,1,1.501764,16436,0
-9.18401,-7.69428,1,1,0,70,1,0,0,1,0,0,0,0,0,0,195,300,1,9,0,0,3.86634,1358,0
-9.18361,-7.69398,0,1,0,66,1,0,0,2,0,0,0,0,0,0,136,226,0,2,0,0,1.150794,982,0
-9.1844,-7.69457,0,1,0,70,1,0,2,4,1,1,0,0,0,0,28,108,9,0,0,1,1.185046,287,0
-9.18401,-7.69428,0,1,0,59,2,0,0,1,0,0,0,0,0,0,339,400,1,5,0,1,2.868932,7696,0
-16,-16,0,1,0,56,0,0,1,3,0,0,1,0,0,0,69,127,0,0,0,0,2.811265,53,0
-9.1298,-7.65362,0,1,0,40,4,0,1,3,1,0,0,0,0,0,911,2002,20,1,0,0,1.535158,616,0
-9.1844,-7.69457,0,1,0,68,1,0,1,4,0,1,0,0,0,0,86,196,4,2,0,1,4.001904,2414,0
-9.18401,-7.69428,0,1,0,58,3,0,1,2,0,1,0,0,0,0,2650,2891,18,57,0,0,2.090286,1985,0
-9.18401,-7.69428,0,1,0,63,1,0,1,4,1,0,0,0,0,0,24444,26770,176,88,0,1,2.631912,21461,0
-9.18401,-7.69428,0,1,0,59,11,0,0,3,0,0,0,0,0,0,273,89,19,2,0,0,3.605083,3126,0
-9.1844,-7.69457,0,1,0,73,2,0,0,1,0,0,0,0,0,0,2106,2302,27,73,0,0,3.992643,10318,0
-7.37977,-6.34018,0,1,0,41,12,1,1,2,1,0,0,0,0,0,381,678,806,13,0,1,4.434075,6655,1
-7.3208,-6.29539,0,1,0,58,13,1,1,3,1,0,0,0,0,0,517,1024,31,7,0,1,1.462524,2370,1
-8.80968,-7.41388,0,1,0,66,12,1,1,1,1,0,0,0,0,0,200,563,26,6,0,1,3.388792,1276,1
