Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
C Akyuz ,TKY,2019,2019,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
MA Aponso ,Sri Lanka,2018,2018,3,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
S Arachchige ,ITA,2019,2019,4,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
SK Atai ,Papau New Guinea,2019,2019,2,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
MS Aulakh ,Canada,2012,2013,3,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
M Bhanuka ,Sri Lanka,2019,2019,2,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
AF Buurman ,Netherlands,2010,2010,4,2,0,0,0,FALSE,0,4,0,0,0,2,0,0
PP Chawla ,India,2010,2012,7,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
DO Christian ,West Indies,2011,2011,2,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
I Civric ,Serb,2019,2019,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
S Dalton ,CZK-R,2019,2019,2,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
N Dipakkumar Patel ,PNM,2019,2019,3,1,0,0,0,FALSE,0,0,NA,0,0,1,0,0
JN Dorji ,BHU,2019,2019,1,1,0,0,0,FALSE,0,0,NA,0,0,1,0,0
Ehsan Nawaz ,Hong Kong,2014,2017,5,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
Fakhrul Mohon ,PORT,2019,2019,4,1,0,0,0,FALSE,0,0,NA,0,0,1,0,0
GC Galanis (),NA,2019,2019,2,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
Gershon Yusuf ,NGA,2019,2019,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
L Gharasim ,ROM,2019,2020,3,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
M Goonetilleke ,MLT,2019,2019,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
T Henderson ,South Africa,2006,2006,1,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
KC Hodsoll ,Bermuda,2008,2008,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
Imran Khan (1) ,Pakistan,2015,2015,3,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
P Kerai ,Kenya,2019,2019,6,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
RN Lewis ,West Indies,2008,2008,1,1,0,0,0,FALSE,0,4,0,0,0,1,0,0
CA Liyanage ,Mald,2019,2020,3,3,1,0,0,TRUE,0,2,0,0,0,2,0,0
AJ McKay ,New Zealand,2010,2010,2,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
GI Maiden ,Scotland,2008,2008,3,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
P Malav ,LUX,2020,2020,3,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
OM Marshall ,Peru,2019,2019,3,1,0,0,0,FALSE,0,3,0,0,0,1,0,0
M Meade ,Chile,2019,2019,1,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
Mehran Siasar ,Iran,2020,2020,1,1,0,0,0,FALSE,0,3,0,0,0,1,0,0
Michael Nazir ,MLT,2019,2019,1,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
TS Mills ,England/ICC World XI,2016,2018,5,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
A Mishra ,India,2010,2017,10,1,0,0,0,FALSE,0,0,NA,0,0,1,0,0
Mohammad Ayaz ,United Arab Emirates,2020,2020,1,1,0,0,0,FALSE,0,2,0,0,0,1,0,0
Mohammad Qazi ,Canada,2008,2008,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
HJC Mol ,Netherlands,2008,2008,4,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
Musa Shaheen ,DEN,2019,2019,1,1,0,0,0,FALSE,0,3,0,0,0,1,0,0
AA Noffke ,Australia,2007,2008,2,1,0,0,0,FALSE,0,0,NA,0,0,1,0,0
L Nussbaumer ,GUE,2019,2019,1,1,0,0,0,FALSE,0,1,0,0,0,1,0,0
