carrier_code,name,country
02Q,Titan Airways,United Kingdom
04Q,Tradewind Aviation,United States
05Q,Comlux Aviation,Switzerland
07Q,Flair Airlines Ltd.,Canada
0CQ,ACM AIR CHARTER GmbH,Germany
0J,JetClub AG,Switzerland
0JQ,Vision Airlines,United States
0LQ,Metropix UK,United Kingdom
0Q,Flying Service N.V.,Belgium
OH,PSA Airlines Inc.,United States
PI,Piedmont Airlines,United States
2F,Frontier Flying Service,United States
4E,Tanana Air Service,United States
4M (1),Lan Dominica,Dominican Republic
4N,Air North,Australia
4T,Belair Airlines Ltd.,Switzerland
5C,C.A.L Cargo Airlines,Israel
5F,Arctic Circle Air Service,United States
5G,Skyservice Airlines,Canada
5G (1),Queen Air,Dominican Republic
5J,Private Jet Expeditions,United States
5X,United Parcel Service,United States
5Y,Atlas Air Inc.,United States
6B,Britannia Airways A.B.,United Kingdom
6F,Laker Airways Inc.,United States
6U,Air Ukraine,Ukraine
7F,First Air,Canada
7H,Era Aviation,Israel
7N,Inland Aviation Services,Maldives
7S (1),Skystar International Inc.,United States
8C,Air Transport International,United States
8D,Servant Air Inc.,United States
8E,Bering Air Inc.,United States
8Q,Baker Aviation Inc.,United States
8R,Edelweiss Air Ag,Switzerland
8V,Wright Air Service,United States
9E,Pinnacle Airlines Inc.,United States
9J,Pacific Island Aviation,United States
9K,Cape Air,United States
9L,Colgan Air,United States
9M,Central Mountain Air,Canada
9R,Flagship Express Services,United States
9S,Southern Air Inc.,United States
9V,Avior Airlines,Venezuela
A4,Southern Wind Airlines,Argentina
AA,American Airlines Inc.,United States
AAA,Associated Aviation Act.,Nigeria
AAE,AAA Airlines,United States
AAI,Audi Air Inc.,United States
AAP,Armstrong Air Service Inc.,Canada
AAQ,Advance Air Charters,Canada
AAT,Air Sunshine Inc.,United States
AC,Air Canada,Canada
ACD,Academy Airlines,United States
ACG,Air Cargo Express Inc.,Tunisia
ACJ,Atlantic Coast Jet Inc.,United States
ACK,Air Central Inc.,Japan
ACN,Alliance Airlines,Australia
AEC,Astec Air East Inc.,United States
AEF,Aero Freight,Mexico
AGA,Air Cargo America Inc.,United States
AHA,Air Alpha,United States
AIA,All Island Air,Mexico
AIC,Air Caribbean,Barbados
AIE,Air Express Inc.,Sweden
AIQ,Norontair,Canada
AIT,Airways International,Swaziland
AIY,Alliance Air,Uganda
ALE,Air-Lift Associates Inc.,United States
ALK,Air Link Airways,Ireland
ALS,Air L.A.,United States
ALT,Altus Airlines,United States
AM,Aeromexico,Mexico
AMA,North American Airlines Inc.,United States
ANC,Atlantic Air,France
APE,Air Cape,United States
APH,Alpha Air,United States
APL,Appalachian Flying Service,United States
APS,Air Spirit Inc.,United States
AQ,Aloha Airlines Inc.,United States
AR,Aerolineas Argentinas,Argentina
ARD,Airlift International,United States
ARR,Arrowhead Airways Inc.,United States
ARZ,Arizona Airways,United States
AS,Alaska Airlines Inc.,United States
ASC,Air South Inc.,United States
ASH,Air South,United States
ASQ,Aerosur,Bolivia
ASU,Air South (1),United States
ASW,Sunrise Airlines Inc.,United States
AT,Royal Air Maroc,Morocco
ATH,Air Southeast,United States
ATN,Air Atlantic Airlines Inc.,United Kingdom
AUX,Austin Express Inc.,United States
AVS,Aviation Services,United States
AVZ,Southern Jersey Airways,United States
AX,Trans States Airlines,United States
AY,Finnair Oy,Finland
AZP,Arizona Pacific Airways,United States
B6,JetBlue Airways,United States
BA,British Airways Plc,United Kingdom
BDE,Jet Express,Mexico
BDQ,Aerotaxis De Aguascalientes S.A. De C.V.,Mexico
BFG,Million Air,United States
BFQ,Buffalo Airways Inc.,Canada
BG,Biman Bangladesh Airlines,Bangladesh
BHK,Blackhawk Airways Inc.,United States
BHO,Bighorn Airways Inc.,United States
BIA,Big Island Air,United States
BN,Britannia Airways GmbH,United Kingdom
BRK,Barken International,United States
BRQ,Thomas Cook Airlines Uk Ltd.,Belgium
BRW,Barrow Air,United States
BTQ,Brasair Transportes Aereos,Brazil
BY,Britannia Airways Ltd.,United Kingdom
C8,Chicago Express Airlines,United States
CA,Air China,China
CAZ,CAT Aviation,Switzerland
CC,Air Atlanta Icelandic,Iceland
CEQ,All Canada Express,Canada
CGO,Chicago Air Taxi,United States
CH,Bemidji Airlines,United States
CHS,Christman Air System,United States
CI,China Airlines Ltd.,Taiwan
CK,China Cargo Airline,China
CLF,California Air Shuttle,United States
CNN,Centennial Airlines,United States
CO,Continental Air Lines Inc.,United States
COM,Commutair,United States
CP,Compass Airlines,United States
CPQ,Capitol Air Express Inc.,United States
CRB,Caribair,Dominican Republic
CRE,Caribbean Express Inc.,United States
CRO,Crown Airways Inc.,United States
CRP,Corporate Air,United States
CS,Continental Micronesia,United States
CSA,Casino Airlines,United States
CTL,Coastal Air Transport,United States
CTQ,Custom Air Transport,United States
CUQ,Caicos Caribbean Airways,Barbados
CW,Air Marshall Islands Inc.,Marshall Islands
CZ,China Southern Airlines,China
DC,Caribbean Air Cargo Co Ltd.,Barbados
DE,Condor Flugdienst,Germany
DEC,Decatur Aviation,United States
DH,Independence Air,United States
DH (1),Discovery Airways Inc.,United States
DHQ,DHL Aero Expresso,Panama
DIA,Drummond Island Air,United States
DL,Delta Air Lines Inc.,United States
DUZ,Summit Airlines Inc.,United States
DWN,Dawn Air,United States
E0,Eos Airlines,United States
E7,Estafeta Carga Aereas,Mexico
E72,European Aviation Air Charter,United Kingdom
E8,USAfrica Airways Inc.,United States
E9,Boston-Maine Airways,United States
EA,Eastern Air Lines Inc.,United States
EAQ,Executive Airlines,United States
EAS,Eastern Caribbean Airways,Barbados
ECI,Eastern Carolina Aviation,United States
ECR,East Coast Airways,South Africa
EEX,Exec Express,Sweden
EEZ,Eagle Aviation Inc.,United Kingdom
EGJ,Eagle Jet Charter,United States
EH,Saeta Airlines,United States
EHA,East Hampton Aire Inc.,United States
EI,Aer Lingus Plc,Ireland
EM,Empire Airlines Inc.,United States
EME,Metro Express,United States
EOQ,Aeroservicios Ecuatorianos,Ecuador
EP,All Star Airlines Inc.,United States
ER,Astar Air Cargo Inc.,United States
ERI,Erie Airways Inc.,United States
ERO,Empire Aero Service,United States
ERQ,Aero Trades (Western) Ltd.,Canada
ET,Ethiopian Airlines,Ethiopia
EUQ,Air Atlanta Europe,United Kingdom
EV,Atlantic Southeast Airlines,United States
EWA,Rio Grande Air,United States
EXC,Executive Charter,Germany
EY,Etihad Airways,United Arab Emirates
F9,Frontier Airlines Inc.,United States
FAA,Falwell Aviation Inc.,United States
FAR,Federal Armored Service Inc.,United States
