Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number
28162,Scene It? HBO,2005,BaseGame,12 to under 18,2,5,1.5,2,30,55,6,1,0,22,7
65493,Star Wars: Imperial Assault  Rebel Saboteurs Ally Pack,2015,PremiumGame,5 to under 12,2,5,2.8,5,60,1532,4,67,177,122,32
7247,Glass Road,2013,BaseGame,12 to under 18,1,4,2.9167,300,75,4711,73,632,1857,3695,820
13822,California Gold,2015,BaseGame,5 to under 12,3,5,2.3333,6,120,103,2,18,44,49,29
19725,Zulu Attack,1982,BaseGame,12 to under 18,2,2,2.75,4,90,59,2,3,5,20,11
34602,Lancaster and York,2006,BaseGame,under 5,2,2,3,1,25,4,0,0,1,2,2
41220,Processing,2009,BaseGame,under 5,2,2,1,1,20,12,0,2,5,6,7
30272,Gosix,2006,BaseGame,5 to under 12,2,2,2.3333,3,15,31,2,2,8,14,11
9490,Oregon,2007,BaseGame,5 to under 12,2,4,2.1586,309,45,2493,100,160,440,2647,827
40375,Fight Tournament,2008,BaseGame,under 5,2,2,1,1,30,2,0,0,1,2,0
69453,Molecular: The Strategic Chemistry Tile Game,2015,BaseGame,12 to under 18,2,8,2,1,60,3,0,0,6,2,3
42181,Harzdame,2009,BaseGame,under 5,2,2,3.3333,3,30,8,0,0,2,9,2
15989,Dragon Lords,1993,BaseGame,5 to under 12,2,6,2,4,120,91,5,10,12,30,21
64480,Meeples to the Mothership,2014,BaseGame,5 to under 12,2,6,1,1,45,17,0,1,2,7,4
31880,WWE DVD Board Game (2nd Edition),2006,BaseGame,5 to under 12,2,4,4,1,90,18,2,0,1,10,3
14939,Guess Who? Extra,2008,BaseGame,5 to under 12,2,2,1.0909,11,10,336,5,1,11,155,52
50338,CryptidsTV,2011,BaseGame,5 to under 12,3,8,1.6667,3,30,37,1,4,8,11,6
7688,High Society,1995,BaseGame,5 to under 12,3,5,1.5487,452,15,4280,154,169,511,3935,1472
30176,Fridge Horse Racing,2007,BaseGame,under 5,2,6,1,1,30,0,0,0,1,1,1
7402,Discworld: Ankh-Morpork,2011,BaseGame,5 to under 12,2,4,2.1996,461,60,6631,116,306,1414,5396,1252
9824,To Court the King,2006,BaseGame,5 to under 12,2,5,1.7297,444,45,2946,77,181,505,3322,1201
52493,Siberia / Key West / Bangkok Klongs Expansion,2011,PremiumGame,5 to under 12,2,5,2,2,60,75,9,3,6,10,7
17209,Don't You Forget It,1997,BaseGame,5 to under 12,2,2,1,4,30,89,2,0,3,39,16
14027,Schnapp,1993,BaseGame,5 to under 12,2,4,1,10,20,42,2,41,71,42,31
7128,Steam,2009,BaseGame,5 to under 12,3,5,3.4493,601,90,7456,176,519,2029,6827,1653
11675,Samurai: The Card Game,2009,BaseGame,under 5,2,4,2,26,60,579,25,21,83,326,117
10287,Neue Heimat,2007,BaseGame,5 to under 12,2,5,2.5,44,45,324,9,149,255,409,180
20504,The Graingrowin' Game,1982,BaseGame,5 to under 12,2,4,3,3,90,14,2,0,1,5,4
59695,Advantage Tennis,2013,BaseGame,12 to under 18,2,4,2,1,30,4,0,0,3,2,0
21538,Scrabble Rebus,1986,BaseGame,5 to under 12,2,4,1.6667,3,60,109,15,3,3,17,20
8978,La Granja,2014,BaseGame,12 to under 18,1,4,3.541,183,120,2530,26,467,1509,1473,378
14923,Kraut & Rben,1998,BaseGame,5 to under 12,3,5,1.2222,9,30,186,10,8,8,102,31
10839,Maharani,2012,BaseGame,5 to under 12,2,4,2.0682,44,40,1158,77,35,124,430,161
7388,Reef Encounter,2004,BaseGame,5 to under 12,2,4,3.6748,615,120,5008,234,352,1092,4362,1748
58083,The Kuromaku: Domination of Japan,1987,BaseGame,under 5,2,8,2,1,90,5,0,0,1,2,1
27330,Het Grote Basisschoolspel,2005,BaseGame,5 to under 12,2,4,1,1,30,5,1,0,0,5,2
10233,Province,2014,BaseGame,12 to under 18,2,2,1.8333,78,25,2388,113,29,144,854,296
17807,Bad Babiez,2005,BaseGame,12 to under 18,2,8,1.3077,13,60,112,16,1,8,65,26
27329,Knall & Fall,2003,BaseGame,5 to under 12,2,6,1,1,10,8,2,0,4,6,4
52348,BITS Mitbringspiel,2012,BaseGame,5 to under 12,1,4,1,2,20,40,3,1,2,16,5
45525,Snack Factory,2010,BaseGame,5 to under 12,3,5,2,1,45,11,0,0,10,5,5
42756,Song of Rooks and Pawns,2009,PremiumGame,under 5,2,2,2,1,30,5,0,0,1,3,2
44820,Pick-A-Part,2010,BaseGame,5 to under 12,1,6,2,1,20,1,0,0,0,0,0
11692,27th Passenger: A Hunt On Rails,2014,BaseGame,5 to under 12,3,6,2,11,45,226,8,22,107,135,29
17245,Candidate,1991,BaseGame,5 to under 12,2,6,1.9412,17,90,254,20,13,11,157,64
27020,Black Cannon,1986,BaseGame,5 to under 12,2,4,1.3333,3,30,82,8,1,5,28,12
12866,Eagles Of The Empire: Preussisch-Eylau,1999,BaseGame,12 to under 18,1,2,2.619,21,180,372,20,9,16,99,73
18174,Jenga: Tetris,2013,BaseGame,5 to under 12,1,99,1.5,4,20,210,2,1,7,70,19
24526,Table Top Troopers,2001,BaseGame,5 to under 12,2,2,1,1,30,14,0,0,4,1,4
49103,dabong!,2011,BaseGame,5 to under 12,2,5,1.6,5,15,34,1,0,4,25,12
59125,Legends of Andor: The Stranger,2013,PremiumGame,5 to under 12,2,4,2,1,75,64,1,17,43,7,6
61103,Robin Hood 2888,2013,BaseGame,12 to under 18,1,4,2,1,40,2,0,1,3,1,2
22673,Rotten Egg,1998,BaseGame,under 5,2,7,1,1,10,2,0,0,0,1,0
71566,The Race Through Space,-99,BaseGame,5 to under 12,2,6,2,1,15,2,0,0,0,0,1
26897,Dungeons & Dragons: The Dragon's Den,1992,PremiumGame,12 to under 18,3,6,2.4,5,120,158,12,12,15,36,15
18228,Black Molly,2004,BaseGame,5 to under 12,2,4,1.75,4,30,70,8,0,1,33,15
57526,Suburban Dispute,2013,BaseGame,12 to under 18,2,6,2,1,60,12,2,0,6,11,7
52151,Mighty Monsters,2011,BaseGame,12 to under 18,2,6,2.5,2,90,29,0,2,4,8,1
54885,The Rivals for Catan: Age of Enlightenment,2012,PremiumGame,5 to under 12,2,2,2,12,75,998,20,32,99,178,56
62516,Alien Uprising: X-14 Expansion,2014,PremiumGame,12 to under 18,1,5,2,1,90,231,13,4,7,12,10
16838,Carmarace,2014,BaseGame,5 to under 12,2,6,2.6667,6,90,84,8,4,16,36,14
9045,Ginkgopolis,2012,BaseGame,12 to under 18,1,5,2.877,252,45,2901,54,428,1143,2927,669
55422,Custer's Final Campaign: 7th Cavalry at Little Bighorn,2012,BaseGame,under 5,2,2,1.75,8,30,98,1,3,15,28,16
15847,Miksi juuri Mntsl...?,2009,BaseGame,5 to under 12,2,6,1.4,5,20,19,1,0,0,39,19
47294,Dokuganryu Masamune,1987,BaseGame,12 to under 18,1,2,3,1,60,6,0,0,1,1,1
48303,,2010,BaseGame,5 to under 12,4,16,2,2,30,11,0,0,1,8,2
11092,Pax Baltica,2009,BaseGame,12 to under 18,2,2,3,39,180,557,14,44,133,168,82
54074,Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre  Haggatha the Heffer's Crushazorian Godstorm (promo),2012,PremiumGame,12 to under 18,2,6,1,1,30,221,3,19,41,49,10
17239,Face-it,2001,BaseGame,5 to under 12,2,4,1,2,20,56,3,5,6,36,26
61064,The Agents: Black Ops,2013,PremiumGame,5 to under 12,2,5,1.5714,7,30,687,44,3,5,64,28
7450,Elder Sign,2011,BaseGame,12 to under 18,1,8,2.3351,761,90,16147,406,333,1983,10564,2360
20647,Heavy Metal L-Gaim,1984,BaseGame,12 to under 18,2,2,3,1,90,5,0,2,1,2,0
56864,Memoir '44: Equipment Pack Bonus Scenarios,2012,PremiumGame,5 to under 12,2,2,2,2,60,466,3,34,63,55,23
65411,Star Realms: Game Day Pack (May - July),2014,PremiumGame,12 to under 18,2,4,2.5,2,20,170,5,57,83,26,10
60139,Stone Age: Casino,2013,PremiumGame,5 to under 12,2,5,2,2,60,468,17,86,157,55,36
24814,Tabernacle,2003,BaseGame,12 to under 18,2,5,3,4,90,48,0,7,35,11,19
64247,Infinity Operation: Icestorm,2014,BaseGame,12 to under 18,2,2,3.75,4,60,131,1,14,33,23,10
9137,Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,BaseGame,12 to under 18,1,5,2.632,250,60,6865,197,338,1352,3525,872
65145,Spellcaster: Spiel 2014 Promo Pack,2014,PremiumGame,12 to under 18,2,4,1.5,2,25,65,1,3,2,10,6
40979,World of Warcraft: The Adventure Game  Brebo Bigshot Character Pack,2009,PremiumGame,12 to under 18,2,4,2,3,90,454,10,7,19,55,21
49288,Kunitori! Is the World on Fire?,2011,BaseGame,12 to under 18,2,6,2.6,5,45,40,1,4,19,23,9
8073,Ribbit,2004,BaseGame,5 to under 12,2,5,1.094,149,20,1413,14,63,189,1334,330
