Game_ID,Game_Name,Released_Year,Game_Type,Age_Category,Min_Players,Max_Players,Average_Complexity,Complexity_Raters,Average_Play_Time,Owner_Number,Trader_Number,HighInterest_Number,Interest_Number,Rater_Number,Comment_Number,Average_Rating
9048,Age of Industry,2010,BaseGame,12 to under 18,2,5,3.3636,231,120,2697,71,293,796,2323,751,7.51948
40086,Going The Distance,1998,BaseGame,under 5,2,8,2,3,60,3,0,1,4,4,2,7.5
12545,Inside,2007,BaseGame,5 to under 12,2,2,2,12,10,187,8,20,49,137,46,6.48832
62639,New Bedford,2016,BaseGame,12 to under 18,1,4,2.4,5,75,62,1,36,184,28,56,7.66071
26419,Sekigahara fierce fight,1988,BaseGame,12 to under 18,1,2,3,2,120,4,0,1,3,3,1,7.5
59747,The Joker Fun House Game,2012,BaseGame,under 5,2,5,1,1,10,21,0,0,2,10,3,6.06
9611,Fjords,2005,BaseGame,5 to under 12,2,2,1.7218,363,30,2788,98,239,686,2489,995,6.70125
15660,Wiede 1683,1992,BaseGame,under 5,2,2,3.1,10,180,73,3,4,6,46,10,6.19565
16429,HellRail,1998,BaseGame,12 to under 18,2,4,2.125,8,30,161,9,3,7,67,18,5.68955
42601,The Bob Evans Restaurant Family Game!,2005,BaseGame,5 to under 12,2,8,1,1,2,4,0,0,0,2,2,1.05
23167,A Jumping Frog Game,2000,BaseGame,5 to under 12,2,2,1,1,5,9,1,1,0,6,4,5.5
8043,Wings of War: The Dawn of World War II,2007,BaseGame,12 to under 18,2,6,1.9552,134,45,1992,116,62,198,1131,334,6.91004
65555,Pot Farm: The Board Game,2015,BaseGame,18 to under 21,2,4,3,1,45,12,0,1,4,4,0,8.5
21087,National Liberation Front,1983,BaseGame,12 to under 18,2,2,2.6667,3,10,31,1,6,11,7,6,6.35714
18889,The Lord of the Rings: The Fellowship of the Ring,2002,BaseGame,5 to under 12,2,6,1.44,25,45,384,59,3,13,196,96,3.20311
39445,Palazzo,2003,BaseGame,under 5,2,4,2,1,30,7,1,0,0,5,1,6.06
12133,Ilium,2008,BaseGame,5 to under 12,2,4,2.1316,38,35,581,64,23,62,303,138,6.16651
28754,Alcatraz Escape,2000,BaseGame,5 to under 12,2,2,1,3,20,7,0,0,1,5,3,6.3
17947,Battle for Basra,1991,BaseGame,5 to under 12,2,2,1.5385,13,30,184,17,4,4,40,39,4.81
23691,Wall Street Spin,2004,BaseGame,5 to under 12,2,6,1.5,2,60,24,6,0,0,2,2,5.5
56282,These Brave Fellows,2013,BaseGame,12 to under 18,1,2,2.5,4,180,111,3,8,9,23,22,6.71304
7812,Revolution!,2009,BaseGame,5 to under 12,3,4,2.0463,216,60,3372,134,209,796,2923,813,6.75367
13197,Battle of the Bands: Encore Edition,2004,BaseGame,12 to under 18,2,4,1.6129,31,30,269,19,7,18,157,66,6.36432
11862,Zoff in Buffalo,1998,BaseGame,12 to under 18,2,5,2.0385,26,45,247,9,31,60,237,87,6.37637
12686,Riddle of the Ring,1982,BaseGame,12 to under 18,2,8,2.1538,13,120,268,11,29,45,117,61,6.67786
26377,Eierlei,2004,BaseGame,under 5,2,4,1,1,15,18,1,0,0,9,6,5.11111
19539,The Whole Brain Game,2001,BaseGame,5 to under 12,2,2,2,2,60,62,7,1,3,20,19,5.225
62272,Japanese: The Game  Anime Expansion,2014,PremiumGame,12 to under 18,1,6,1.5,2,10,37,0,0,2,3,2,6.83333
62859,Sons of Anarchy: Men of Mayhem  Grim Bastards,2014,PremiumGame,12 to under 18,3,5,2,2,90,218,3,7,24,33,8,7.4697
9266,"Hey, That's My Fish!",2003,BaseGame,5 to under 12,2,4,1.4698,1356,20,14836,355,308,1293,12807,3761,6.82349
54111,High and Low Poker,2011,BaseGame,12 to under 18,2,10,1,1,45,2,0,0,4,2,1,6.75
9565,Timeline: Diversity,2012,BaseGame,5 to under 12,2,8,1.0769,117,15,2985,28,91,235,1424,258,6.96606
14632,Scalawag!,2014,BaseGame,12 to under 18,3,8,1.8,5,40,183,19,6,36,57,14,6.36123
13014,Keep Up The Fire!,2011,BaseGame,5 to under 12,1,2,1.7692,13,30,164,5,15,47,63,35,7.37381
18611,Genegrafter,2012,BaseGame,12 to under 18,2,4,1.5,6,10,184,37,1,17,49,33,3.99592
45316,Rusalka's Sorrow,2011,BaseGame,5 to under 12,2,4,4,1,90,1,0,1,5,0,0,0
35209,Last Night on Earth: Growing Hunger,2008,PremiumGame,12 to under 18,2,6,2.5615,130,60,4739,113,125,397,1904,493,7.72398
20806,Norseman: Viking Kingdoms of the North Sea,1985,BaseGame,12 to under 18,2,6,2.5,2,180,57,2,11,15,11,8,5.40909
14656,Suzerain,1993,BaseGame,12 to under 18,2,6,2.5455,11,60,304,31,4,17,101,36,6.02624
30070,Larry Burkett's Money Matters,1993,BaseGame,5 to under 12,2,6,1,1,90,16,5,0,0,5,4,3.4
63775,Harbour: Launch Promo Characters,2015,PremiumGame,5 to under 12,2,4,3,1,60,437,12,13,13,33,18,7.15227
55903,Karolinchen,2012,BaseGame,5 to under 12,2,6,1,3,20,17,1,0,4,10,4,4.55
40258,Domina 4,2010,BaseGame,under 5,2,2,1.5,2,15,5,0,0,5,8,4,5.0625
29735,Patriot Act: The Home Version,2006,BaseGame,under 5,2,6,1,1,45,5,0,1,0,2,3,5
63495,The Visitors,2014,BaseGame,5 to under 12,1,4,1.5,2,30,3,0,1,3,3,3,6
18871,Burn in Hell,2004,BaseGame,12 to under 18,2,5,1.7692,39,90,648,63,8,35,339,143,4.45855
14183,Queen of the Cupcakes,2005,BaseGame,5 to under 12,2,5,1.3333,39,20,382,46,7,23,213,113,5.83784
40906,Prophecy of War,1999,BaseGame,12 to under 18,2,6,1,1,120,4,0,0,0,1,0,7
39945,Deukalion: Theseus  Conqueror of the Minotaur,2008,PremiumGame,under 5,2,4,2,3,60,53,11,1,6,7,4,6.14286
21342,Noch mehr rger,2001,PremiumGame,5 to under 12,2,6,1.25,4,30,110,4,0,1,40,9,6.325
18395,ZombieTown,2007,BaseGame,12 to under 18,3,6,2.1724,58,60,676,64,18,91,381,161,5.42103
18825,Warriors,2004,BaseGame,5 to under 12,2,4,1.3958,48,30,1278,157,7,28,514,226,5.02289
29277,Dien Bien Phu ATS Upgrade: French Indochina 1954,2008,BaseGame,12 to under 18,2,2,4,1,180,55,2,6,8,16,10,8.28125
60518,Color Clash,2013,BaseGame,5 to under 12,1,8,1,1,10,20,0,0,5,4,4,6.175
60633,Tornado!,2013,BaseGame,5 to under 12,2,2,1,1,10,7,1,0,1,3,1,7.16667
21804,Bible Mad Gab,2000,BaseGame,5 to under 12,2,12,1.3333,3,45,36,2,1,3,12,3,5.58333
42954,"Hook, Line, and Sinker",2011,BaseGame,12 to under 18,3,8,1,1,60,1,0,3,9,2,1,5.5
69433,Southern Rails,2015,BaseGame,under 5,3,5,2.6667,3,60,55,1,1,3,15,8,6.41667
22787,Cinmatographe,1995,BaseGame,12 to under 18,2,6,1.5,2,120,15,2,1,0,6,4,6.41667
16586,Geistertreppe: Das Kartenspiel,2010,BaseGame,5 to under 12,2,5,1.1667,6,10,111,4,0,6,48,17,5.69167
43351,Deeku,2008,BaseGame,5 to under 12,3,4,3,2,90,17,1,8,17,12,9,6.45833
25336,Scavengers Gold,1988,BaseGame,5 to under 12,2,2,1,3,20,49,3,1,4,20,9,5.45
41944,Baby Chicks,2008,BaseGame,under 5,2,4,1,2,10,4,0,0,0,2,1,4.5
21710,Paintcheck: The Paintball Game,2003,BaseGame,12 to under 18,2,2,4.2,5,120,73,10,5,7,18,10,5.37778
10327,Junta: Viva el Presidente!,2010,BaseGame,5 to under 12,3,5,1.9048,63,60,1325,65,82,283,977,257,6.54895
64838,The Majority: Complete Edition,2015,BaseGame,12 to under 18,2,4,2,5,45,89,3,5,28,27,12,7.42222
60061,Seas of Chaos,2014,BaseGame,12 to under 18,2,6,3,1,90,2,0,0,1,2,1,8.945
17174,SS Panzer: Bloodbath at Kursk,1996,BaseGame,12 to under 18,1,2,2.7778,9,180,269,17,4,5,52,36,5.56154
65713,Eastwood Deadliest Gunslingers,2015,BaseGame,5 to under 12,2,8,1,1,15,10,0,0,2,2,1,4
17611,Virus & Co,2002,BaseGame,5 to under 12,3,6,1.6667,9,45,160,8,0,5,82,20,5.2939
42437,Battleground Fantasy Warfare: Orc Army,2005,PremiumGame,12 to under 18,2,2,2.6667,3,60,314,23,9,9,50,20,7.422
37092,Der gestiefelte Kater,1994,BaseGame,under 5,2,4,1,1,20,7,1,0,0,1,0,5
22147,Bumper to Bumper: Real Life Stock Car Racing,1991,BaseGame,under 5,2,20,2,1,60,12,2,5,3,6,4,5
8998,Rococo,2013,BaseGame,12 to under 18,2,5,3.0599,217,120,3467,43,423,1087,2572,577,7.59907
19708,Drakon Expansion 1,2002,PremiumGame,5 to under 12,2,6,2.0769,13,30,328,23,7,15,169,73,6.68343
18271,Neopets TCG,2003,BaseGame,5 to under 12,2,2,1.4,5,20,103,17,4,5,65,31,4.93077
69778,Giallo,2015,BaseGame,12 to under 18,2,4,2,1,30,1,0,0,4,0,0,0
8369,Dungeon Command: Blood of Gruumsh,2013,BaseGame,12 to under 18,2,2,2.5,24,90,1253,23,90,197,350,88,7.66077
26609,Europe 1483,2002,PremiumGame,12 to under 18,2,28,3,1,120,23,0,0,2,4,3,3.75
43897,Holydeck,2007,BaseGame,5 to under 12,2,6,1,1,30,1,0,1,1,1,1,8
22499,Goju,1985,BaseGame,5 to under 12,2,2,3,1,30,40,4,2,4,5,10,6.2
22814,Visual Brain Storms,1995,BaseGame,5 to under 12,1,8,2,4,45,88,8,0,3,20,12,5.2875
21262,Rush N' Crush,2003,BaseGame,5 to under 12,2,6,2,2,60,44,0,2,23,13,19,6.65385
12681,8th Army: Operation Crusader,1984,BaseGame,12 to under 18,2,2,2.8824,17,120,255,10,6,18,93,45,6.86914
13543,Lost Battles:  Reconstructing the Great Clashes of the Ancient World,2007,BaseGame,under 5,2,2,3.375,8,120,114,1,4,18,34,25,8.01471
9058,Lost Cities,1999,BaseGame,5 to under 12,2,2,1.5246,2495,30,26511,504,450,2310,21839,6316,7.122
27644,Gamonal 1808,1995,BaseGame,12 to under 18,1,2,1,1,180,22,2,3,5,3,3,8
62476,Caffeine Rush,2015,BaseGame,5 to under 12,2,6,1.6667,3,20,65,2,3,14,19,10,5.13158
9489,Quarto!,1991,BaseGame,5 to under 12,2,2,2.0602,249,20,4243,234,50,303,3013,850,6.79342
26850,Regatta: The Game of Champions,1999,BaseGame,5 to under 12,2,6,1,1,45,5,0,2,2,3,2,5
17045,Ice Lake,2002,BaseGame,5 to under 12,2,4,1.4,10,20,91,7,4,7,39,26,5.60513
12870,China Moon,1996,BaseGame,5 to under 12,2,5,1.6038,53,30,650,48,8,33,444,187,5.86034
61371,Allegiance,2014,BaseGame,12 to under 18,3,6,1.25,4,20,41,1,0,24,19,14,6.73684
50970,The Twelve Doctors: The Talons of Weng-Chiang,2012,PremiumGame,5 to under 12,2,2,2.5,2,30,62,1,0,4,13,7,8.15385
22098,WordSense,2003,BaseGame,5 to under 12,2,6,1,1,30,53,3,0,1,12,12,5.625
26229,Gawp,1996,BaseGame,5 to under 12,1,8,1.2,5,30,10,0,1,0,7,6,4.27143
14968,Pirates & Plunder,2004,BaseGame,5 to under 12,2,5,2,12,60,88,0,6,55,35,36,6.71143
9787,Byzantium,2005,BaseGame,12 to under 18,2,4,3.4703,202,120,1829,108,89,242,1075,530,6.84412
45366,Babylon: Gateway of the Gods,2011,BaseGame,5 to under 12,2,4,3,1,90,2,0,0,3,0,0,0
57474,Kotanook,2013,BaseGame,5 to under 12,2,2,2,1,30,5,0,0,6,1,0,8
12758,Black Elephant,2004,BaseGame,5 to under 12,2,2,3.25,4,30,108,1,39,90,49,17,7.73367
16655,Penguin Soccer,2007,BaseGame,under 5,2,2,2,8,20,47,1,5,22,41,23,5.75854
39144,Age of Steam Expansion: Washington DC and The Berlin Wall,2008,PremiumGame,under 5,3,4,4,3,120,154,5,14,17,31,31,7.7297
22821,EmotrionsOnCards,2003,BaseGame,under 5,2,6,1,2,15,15,1,0,1,5,1,3.9
49285,Time Bastards,2011,BaseGame,5 to under 12,2,2,2,1,10,12,0,1,7,3,3,7.5
14105,Interstellar Mayhem,2010,BaseGame,12 to under 18,2,6,2,14,30,82,6,11,53,72,27,6.68681
8341,Breaking Away,1991,BaseGame,5 to under 12,2,9,2.2857,56,60,352,9,111,178,386,186,7.38854
20816,Super Nova: Event Horizon,2000,PremiumGame,5 to under 12,2,6,1,1,90,12,2,2,2,1,0,5
62900,The Agents: Events,2014,PremiumGame,5 to under 12,2,5,2,1,30,349,9,9,7,16,17,7.25
57974,Hoplomachus: Rise of Rome,2013,BaseGame,12 to under 18,1,2,2.5,2,30,136,5,32,43,25,14,7.848
17524,The Way,1994,BaseGame,5 to under 12,2,2,1.375,8,30,88,3,1,14,40,40,5.185
47696,Lost Legacy,2007,BaseGame,12 to under 18,2,4,3,1,30,11,1,4,5,3,3,7
35491,UNO: Doctor Who,2007,BaseGame,5 to under 12,2,10,1.5,2,15,29,1,6,12,17,10,5.08235
8818,7 Wonders,2010,BaseGame,5 to under 12,2,7,2.3384,2917,30,44982,464,1046,5806,36732,7126,7.87047
28082,Maitre du Monde,2003,BaseGame,5 to under 12,3,6,2,1,120,13,0,0,1,6,2,6.11667
51708,CastleControl,2011,BaseGame,12 to under 18,2,4,3,1,90,2,0,0,0,1,1,10
55210,Orion Inc.,2013,BaseGame,12 to under 18,2,5,3,2,120,5,0,21,138,5,5,8.7
18508,Battleship (first edition),1986,BaseGame,5 to under 12,2,2,2,5,90,187,8,3,5,102,28,4.95613
14959,Dark Eden,1997,BaseGame,12 to under 18,2,4,3,6,30,81,3,6,10,49,15,6.50408
9096,Stronghold,2009,BaseGame,5 to under 12,2,4,3.6734,297,120,4631,195,622,2432,2844,860,7.35928
29269,From Valmy to Waterloo,1995,BaseGame,12 to under 18,2,6,2.8,5,180,58,0,1,5,13,3,7.26923
31846,ATS: Nikitovka 1941,2007,PremiumGame,12 to under 18,2,2,4,1,30,57,2,5,8,12,11,9.01667
12171,The Lord of the Rings: Combat Hex Tradeable Miniatures Game,2003,BaseGame,12 to under 18,2,2,2.3714,35,60,568,59,20,26,258,135,6.35605
12847,Warzone (second edition),1998,BaseGame,12 to under 18,2,8,2.9333,15,60,238,9,9,16,134,48,6.49586
12908,Frachtexpress,2001,BaseGame,5 to under 12,3,4,2.25,16,45,305,23,6,14,131,43,6.34023
11696,First Orchard,2009,BaseGame,under 5,1,4,1,20,10,377,4,16,56,158,76,6.87658
7340,Space Hulk,1989,BaseGame,12 to under 18,2,4,2.5065,310,45,3012,50,211,485,2923,888,7.46642
36003,De Kolonisten van Catan: Wegwerpcatan,2007,BaseGame,under 5,3,3,2,4,45,96,8,0,6,16,5,5.0625
22979,Moves,2004,BaseGame,5 to under 12,1,2,3,1,10,1,0,0,0,1,1,7
14085,Expdition Altiplano,2006,BaseGame,5 to under 12,2,2,2,16,30,259,19,14,27,92,41,6.25924
11122,"But Wait, There's More!",2011,BaseGame,12 to under 18,3,10,1.0667,15,30,443,9,87,288,179,81,7.15503
51529,Zooloretto: Catta,2011,PremiumGame,5 to under 12,2,5,1.8,5,45,569,29,24,33,59,34,6.5678
25746,Not So Scary Things,1989,BaseGame,under 5,2,4,1,1,30,1,0,0,0,3,2,5.66667
9548,Wealth of Nations,2008,BaseGame,under 5,3,6,3.6193,197,120,1556,75,115,420,1481,530,6.96313
17374,Mother Sheep,2007,BaseGame,5 to under 12,2,6,1.1875,16,20,236,20,2,16,134,60,5.4791
33556,Trivial Pursuit: Sports Edition,1987,PremiumGame,12 to under 18,2,6,1.6,5,60,54,4,0,3,25,8,4.092
11969,DruidenWalzer,1999,BaseGame,12 to under 18,2,2,2.3784,74,45,1135,73,55,109,684,282,5.96029
35407,369,1995,BaseGame,under 5,2,2,1.5,2,30,4,0,0,0,5,4,3.138
67817,Periodyx,2015,BaseGame,5 to under 12,2,10,1,1,30,29,0,0,0,3,4,5.66667
