StudentID,Gender,Year_02,Kinder_Age,Disability,NCCD-Funded,01.SES,02.SES,NumSibling,SiblingOrder,NumAbvYear9,NumAbvDiploma,NumProf,Burt-01-SOY,Burt-01-EOY,Clay-01-SOY,Clay-01-EOY,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Year3_Writing_At_Risk
SN35433053,Male,2020,5.5,Disability_Non-disable,0,104,104,3,3,2,1,2,59,73,-1,-1,16,18,25,25,30,32,20,49,4,5,2,2,2,4,2,2,FALSE
SN71277215,Female,2018,5.8,Disability_Non-disable,0,112,112,2,2,2,2,2,16,29,12,13,8,12,17,19,18,21,40,37,2,1,1,1,2,3,0,2,FALSE
SN40883127,Male,2021,5.9,Disability_Non-disable,0,120,109,2,2,2,0,0,10,32,4,18,8,12,18,18,23,22,6,30,2,1,1,2,2,1,2,1,FALSE
SN93063777,Male,2021,5.7,Disability_Non-disable,0,95,93,2,1,0,0,0,26,49,-3,-2,11,16,25,27,26,31,41,30,2,3,1,2,1,5,2,2,FALSE
SN84195329,Male,2021,5.8,Disability_Non-disable,0,98,98,1,1,2,0,0,20,28,10,13,9,12,17,21,24,26,26,32,2,4,2,2,2,4,1,1,TRUE
SN89893958,Female,2016,5.3,Disability_Non-disable,0,104,104,4,3,0,0,0,27,56,-2,0,12,11,21,25,28,28,39,40,2,4,2,2,1,2,1,3,TRUE
SN00499342,Male,2020,5.1,Disability_Non-disable,0,110,110,2,1,2,2,2,29,37,0,0,13,18,24,25,25,30,13,51,2,2,1,1,0,2,0,2,FALSE
SN20235426,Female,2020,5.6,Disability_Non-disable,0,109,109,2,1,2,1,1,14,25,4,6,2,12,15,16,11,22,12,28,0,0,1,1,1,1,0,1,FALSE
SN14781526,Female,2016,5.6,Disability_Non-disable,0,120,120,1,1,0,0,0,29,40,-1,3,13,18,19,22,27,26,14,39,1,5,1,2,2,2,2,2,FALSE
SN42469492,Female,2020,4.9,Disability_Non-disable,0,107,107,2,2,2,2,0,7,23,0,13,3,12,20,21,23,28,9,16,0,3,1,1,1,1,1,1,TRUE
SN32145676,Male,2017,4.8,Disability_Non-disable,0,116,116,2,2,2,2,2,29,34,-3,1,9,12,21,25,28,30,34,34,1,3,1,1,1,2,2,2,FALSE
SN98972493,Male,2018,5.4,Disability_Non-disable,0,120,120,2,2,1,1,1,24,38,1,0,10,16,21,24,22,30,23,37,3,5,1,2,2,4,0,2,FALSE
SN41045024,Female,2018,5.1,Disability_Non-disable,0,98,98,4,4,1,0,0,12,27,1,15,6,15,16,18,24,24,10,14,0,2,1,1,0,1,0,2,TRUE
SN18396185,Female,2018,5.0,Disability_Non-disable,0,109,109,2,1,1,0,1,24,38,0,-5,17,16,19,24,28,27,14,35,1,1,1,1,1,0,1,1,FALSE
SN37217849,Female,2018,4.9,Disability_Non-disable,0,90,90,2,2,0,0,0,15,29,0,-3,14,15,19,19,21,29,7,34,2,2,1,1,1,1,0,0,FALSE
SN02478780,Female,2020,5.0,Disability_Physical,0,91,91,6,6,2,0,0,14,41,9,12,10,12,21,20,26,30,15,34,2,1,1,1,1,2,1,1,FALSE
SN67242598,Female,2018,5.2,Disability_Cognitive,0,89,89,6,5,1,0,0,2,21,0,3,0,6,11,13,15,23,5,1,0,1,0,1,0,2,0,2,TRUE
SN31301883,Male,2020,5.0,Disability_Cognitive,0,102,102,3,2,2,1,1,17,33,8,15,9,12,16,16,20,25,11,39,1,2,1,3,1,3,2,2,FALSE
SN33074201,Female,2018,5.5,Disability_Non-disable,0,92,92,3,1,2,0,2,25,31,-1,0,14,16,17,20,22,26,30,26,2,3,1,1,2,2,2,2,FALSE
SN21208131,Male,2020,5.3,Disability_Cognitive,1,108,108,2,2,2,0,1,21,30,5,11,9,14,21,23,26,29,14,15,0,3,1,2,1,2,0,2,FALSE
SN01880435,Female,2018,4.8,Disability_Cognitive,0,95,95,4,2,1,0,0,11,27,5,11,6,11,18,20,18,21,5,20,0,0,1,1,1,1,0,1,TRUE
SN94638647,Male,2017,5.8,Disability_SocialEmotional,0,97,97,1,1,0,0,0,23,34,0,15,10,8,19,23,22,24,7,24,2,4,1,2,2,2,0,2,FALSE
SN36007524,Female,2016,4.8,Disability_Non-disable,0,101,101,3,2,2,1,2,28,53,0,0,14,21,26,28,32,30,28,35,2,4,1,2,2,2,0,3,FALSE
SN53568156,Male,2021,5.5,Disability_Cognitive,0,117,108,3,2,2,2,1,28,49,12,17,5,17,24,28,28,29,44,43,2,2,1,2,1,2,1,2,FALSE
SN74770882,Male,2017,5.4,Disability_Non-disable,0,97,97,2,1,0,0,0,9,27,1,11,3,12,14,13,14,21,10,29,1,1,1,1,0,2,0,2,TRUE
SN24097760,Female,2016,5.4,Disability_Cognitive,1,99,103,2,1,2,1,0,25,37,14,0,8,14,18,21,30,31,23,29,1,1,0,1,1,1,0,1,TRUE
SN52623525,Female,2018,5.4,Disability_Non-disable,0,116,116,2,2,2,0,0,26,33,1,0,11,15,23,27,30,29,25,30,0,3,1,2,1,3,1,2,FALSE
SN36354789,Female,2017,5.5,Disability_Non-disable,0,94,94,6,3,0,0,0,7,32,8,13,7,12,19,20,22,25,2,21,1,2,1,1,2,2,2,2,FALSE
SN22474338,Male,2020,5.3,Disability_Cognitive,1,99,99,2,1,2,0,0,14,22,3,12,2,10,16,9,13,20,6,13,0,3,0,2,1,3,0,2,TRUE
SN28727074,Male,2017,5.6,Disability_Non-disable,0,95,95,3,3,1,0,1,12,32,6,0,7,12,19,23,20,27,19,32,0,4,1,2,1,3,0,2,FALSE
SN04758079,Male,2020,5.7,Disability_Non-disable,0,95,95,1,1,1,0,0,29,51,1,17,7,9,25,28,31,29,19,37,2,5,2,2,4,3,2,2,FALSE
SN27234630,Female,2021,5.4,Disability_Non-disable,0,96,95,1,1,1,0,0,23,32,0,-2,19,18,23,27,27,30,27,34,2,3,1,2,2,2,2,2,TRUE
SN90076507,Female,2017,5.1,Disability_Non-disable,0,100,100,3,1,2,2,1,19,29,0,0,8,17,21,21,22,26,26,29,1,2,1,1,1,2,2,2,FALSE
SN17065907,Male,2017,5.4,Disability_Non-disable,0,94,94,2,1,2,1,0,17,25,11,13,9,15,18,14,19,22,26,21,3,2,1,1,2,1,1,2,TRUE
SN69648813,Male,2020,6.1,Disability_Non-disable,0,113,113,3,1,2,1,1,40,59,-1,2,28,27,30,31,31,32,58,54,5,5,2,4,4,4,2,3,FALSE
SN31580724,Female,2017,5.8,Disability_Non-disable,0,101,101,2,2,2,2,2,67,97,-1,1,27,28,33,30,31,30,57,39,3,3,2,2,2,2,2,2,FALSE
SN82140091,Female,2018,5.3,Disability_Non-disable,0,100,100,1,1,0,0,0,19,28,0,12,11,11,16,18,21,25,22,36,1,3,1,2,2,2,0,2,TRUE
SN78926692,Male,2020,5.6,Disability_Non-disable,0,109,109,1,1,2,1,0,46,58,0,-3,21,22,29,30,31,29,30,53,1,4,1,2,0,2,1,2,FALSE
SN60700098,Male,2021,5.2,Disability_Non-disable,0,99,94,3,3,2,0,0,12,32,0,-1,10,13,22,19,24,25,9,29,2,4,1,2,2,5,2,2,TRUE
SN78952329,Female,2021,5.1,Disability_Non-disable,0,117,108,1,1,2,2,2,25,36,0,0,10,18,22,23,25,30,39,39,2,2,1,2,3,2,2,1,FALSE
SN36530672,Male,2018,5.9,Disability_Non-disable,0,120,120,2,1,2,2,2,21,35,0,0,9,15,19,24,26,28,39,39,2,2,2,2,2,2,1,2,FALSE
SN35290978,Male,2016,5.1,Disability_Non-disable,0,97,97,1,1,0,0,0,0,23,6,14,1,4,14,13,13,15,11,21,1,1,0,1,1,1,0,1,TRUE
SN06067989,Male,2017,4.9,Disability_Non-disable,0,113,113,2,1,2,2,2,22,37,1,-3,17,19,24,22,26,29,33,30,3,4,2,2,2,4,2,2,FALSE
SN26953183,Female,2020,4.9,Disability_Non-disable,0,101,101,3,2,2,2,0,20,26,0,1,13,14,21,23,23,30,26,38,3,3,1,2,1,2,1,1,FALSE
SN62357314,Male,2018,4.8,Disability_Non-disable,0,95,95,2,1,2,2,0,5,27,3,14,3,13,22,19,25,27,3,0,1,3,1,2,0,2,0,2,TRUE
SN17596011,Female,2020,4.8,Disability_Non-disable,0,113,113,3,1,2,0,0,45,62,-1,0,21,32,29,36,30,29,80,50,2,3,1,2,1,2,1,2,FALSE
SN60576817,Male,2018,5.4,Disability_Cognitive,1,95,95,1,1,0,0,0,30,47,1,0,18,20,24,19,21,26,37,26,2,2,1,2,1,2,1,2,TRUE
SN83969401,Male,2017,5.5,Disability_Cognitive,0,99,99,2,2,2,1,2,21,29,1,15,10,15,19,21,24,26,16,32,4,4,3,3,2,2,2,2,TRUE
SN83627036,Male,2021,5.1,Disability_Cognitive,0,117,108,2,1,1,1,2,38,48,-1,0,15,21,24,27,29,29,41,54,4,4,2,3,2,4,2,2,FALSE
SN14729290,Male,2020,5.3,Disability_Cognitive,1,114,114,2,1,2,2,2,21,46,-1,0,13,18,23,25,27,31,25,42,2,3,1,1,2,2,1,2,FALSE
SN29957864,Male,2020,5.8,Disability_Non-disable,0,109,109,2,1,2,0,1,27,34,1,0,16,20,24,26,23,30,37,36,3,3,1,2,1,2,1,2,FALSE
SN33588015,Male,2020,4.7,Disability_Non-disable,0,103,103,2,2,2,2,2,22,32,-2,2,12,13,22,19,22,30,19,39,2,2,1,2,1,4,0,2,TRUE
SN23124086,Female,2020,5.4,Disability_Non-disable,0,95,95,3,3,0,0,0,4,41,4,16,3,9,22,22,25,30,7,29,1,2,1,2,1,2,1,2,FALSE
SN58377248,Female,2017,5.2,Disability_Non-disable,0,97,97,2,1,2,2,2,28,36,1,3,13,13,19,14,20,31,43,38,2,4,1,1,2,3,2,2,FALSE
SN13363780,Male,2017,5.0,Disability_Non-disable,0,120,120,1,1,2,1,1,32,49,0,2,10,18,27,26,24,28,18,36,1,3,1,2,2,2,0,1,FALSE
SN05224135,Female,2018,5.4,Disability_Cognitive,0,95,95,3,3,2,1,0,9,28,3,15,1,17,17,18,17,20,24,10,1,2,1,1,2,1,2,1,TRUE
SN43863590,Male,2017,5.4,Disability_Non-disable,0,96,96,2,2,0,0,0,1,18,2,9,4,9,16,14,18,23,7,18,1,2,0,1,1,3,0,2,TRUE
SN32762674,Male,2018,5.8,Disability_Non-disable,0,95,95,3,2,2,2,1,10,23,6,13,5,14,22,19,24,24,25,27,1,3,0,1,1,1,0,2,FALSE
SN23247631,Male,2017,5.4,Disability_Non-disable,0,90,90,3,2,2,1,2,17,28,12,15,1,19,18,20,24,28,10,21,1,2,1,1,1,2,1,2,TRUE
SN31958053,Male,2018,5.6,Disability_Non-disable,0,89,89,4,3,1,1,0,22,44,0,0,12,15,24,22,23,26,13,20,1,1,0,1,1,1,0,2,FALSE
SN07125446,Female,2020,5.4,Disability_Non-disable,0,95,95,2,1,2,0,2,26,35,0,0,9,13,22,23,25,28,25,37,3,4,1,2,1,4,1,3,FALSE
SN71581294,Male,2021,6.0,Disability_Physical,0,117,108,3,3,2,1,2,27,41,0,-2,15,15,18,18,25,31,24,36,4,4,2,2,1,2,2,2,FALSE
SN51743856,Female,2021,5.2,Disability_SocialEmotional,0,96,95,3,3,2,2,1,1,22,0,11,1,10,13,13,17,24,4,4,1,2,0,1,0,1,1,2,TRUE
SN69110121,Female,2016,5.2,Disability_Non-disable,0,114,114,2,1,2,0,1,29,44,0,1,16,17,26,30,29,31,21,38,2,2,1,2,2,3,0,2,FALSE
SN88413410,Female,2020,4.7,Disability_Non-disable,0,104,104,2,1,2,2,1,52,68,0,1,11,16,20,28,31,28,19,43,2,3,1,2,0,3,0,2,FALSE
SN55597899,Male,2018,5.5,Disability_Cognitive,0,116,116,2,1,0,0,0,19,30,0,14,11,9,20,22,27,30,20,22,0,2,1,2,0,2,1,1,TRUE
SN95894424,Male,2020,5.6,Disability_Non-disable,0,114,114,2,1,2,1,2,36,57,0,-3,20,23,30,31,30,30,52,48,5,5,2,2,4,5,2,4,FALSE
SN46621675,Female,2018,5.2,Disability_Non-disable,0,95,95,1,1,2,2,2,23,28,0,1,15,16,21,22,26,27,32,30,3,3,1,2,2,2,0,2,FALSE
SN76924629,Female,2020,5.7,Disability_Non-disable,0,114,114,1,1,2,0,0,25,31,-2,2,13,19,26,28,31,30,23,39,1,2,1,2,1,2,0,2,FALSE
SN27407986,Female,2020,5.1,Disability_Non-disable,0,92,92,3,3,2,2,2,23,32,-2,-2,12,13,23,19,21,26,21,32,2,4,1,2,1,3,2,2,FALSE
SN12115303,Female,2017,4.9,Disability_Non-disable,0,95,95,3,1,2,2,1,16,29,1,0,6,15,18,19,20,23,19,26,1,3,1,1,1,1,2,1,FALSE
SN93874872,Female,2018,4.9,Disability_Non-disable,0,112,112,2,1,2,2,2,20,33,0,-1,13,15,21,25,27,31,22,22,0,3,1,1,0,4,1,3,FALSE
SN38748015,Female,2017,5.2,Disability_Non-disable,0,103,103,2,2,2,0,0,7,26,1,7,5,9,17,16,18,25,23,28,0,2,1,2,1,4,2,2,FALSE
SN19795535,Male,2020,5.3,Disability_Non-disable,0,108,108,2,2,2,1,0,19,31,5,13,12,14,24,24,25,26,20,32,2,4,1,2,1,4,1,2,TRUE
SN88203512,Female,2017,5.3,Disability_Non-disable,0,103,103,2,2,2,2,1,22,38,7,0,15,17,21,22,22,28,22,25,1,2,1,2,1,1,1,0,FALSE
SN93369418,Male,2020,5.7,Disability_Non-disable,0,109,109,2,1,2,1,1,25,41,0,14,12,16,26,23,31,32,21,37,1,3,1,1,2,2,2,2,FALSE
SN26316396,Female,2018,5.0,Disability_Non-disable,0,95,95,3,3,2,1,2,22,38,0,0,11,17,24,24,29,31,19,38,2,3,1,2,1,2,1,2,FALSE
SN84305463,Female,2018,5.6,Disability_Non-disable,0,102,102,3,3,2,2,2,27,36,0,1,14,18,22,24,27,29,49,34,2,4,1,2,2,3,2,1,FALSE
SN42649544,Male,2017,5.4,Disability_Cognitive,1,95,95,3,1,2,1,1,19,29,4,15,4,16,21,21,20,26,13,25,2,3,1,2,1,0,0,1,TRUE
SN79284495,Male,2017,5.0,Disability_Non-disable,0,95,95,2,1,2,0,0,13,26,1,-1,14,12,15,16,18,27,10,19,1,2,1,2,1,1,0,2,TRUE
SN53534325,Female,2020,4.9,Disability_Cognitive,0,109,109,1,1,2,1,1,4,27,6,13,13,12,14,12,13,18,7,14,2,2,1,1,1,1,1,1,TRUE
SN50319246,Female,2020,5.0,Disability_Non-disable,0,94,94,3,3,2,1,1,17,28,0,17,3,7,16,16,19,27,15,39,1,2,2,2,4,3,2,2,FALSE
SN90421652,Male,2018,5.0,Disability_Cognitive,0,110,110,1,1,1,0,0,22,30,0,-1,10,13,19,15,23,27,10,35,2,2,1,2,2,2,0,1,TRUE
