room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
7193709,37672850,Private room,Tårnby,354,5,1,1,41,1,Charming house near the airport,55.616651,12.631454,30/11/2016
4446663,22317683,Private room,København,285,4.5,2,1,70,1,værelse til leje,55.670082,12.556838,25/12/2016
1453654,7080722,Private room,Tårnby,319,5,2,1,64,1,"Comfortable room, close to airport",55.633597,12.618074,3/01/2017
30557,131674,Private room,København,345,5,2,1,90,1,Great Place in Center of Copenhagen,55.681167,12.565207,4/01/2017
443684,2204282,Entire home/apt,København,265,4.5,10,5,242,1,"Penthouse, 4-5 rooms + 5 balconies",55.703808,12.548259,9/01/2017
330915,799887,Private room,København,386,4.5,1,1,48,1,Lovely room - in the heart of CPH!,55.672631,12.556819,10/01/2017
2618043,3366007,Entire home/apt,København,249,4.5,6,2,228,1,Spacious & charming city center apt,55.680067,12.575284,19/01/2017
638111,2658967,Private room,København,276,4.5,3,1,93,1,Suite w/Bikes by Hip Jægersborggade,55.693041,12.541197,8/02/2017
638126,2658967,Private room,København,329,4,3,1,66,1,Simple&Cheap w/Bikes Jægersborggade,55.696633,12.540133,16/02/2017
840903,1328090,Private room,København,216,5,2,1,62,1,Modern Apartment in Copenhage City,55.666546,12.579838,6/03/2017
3341868,6019153,Entire home/apt,København,220,4.5,6,2,242,1,Unique spot right in city center! ,55.6767,12.576978,15/03/2017
894420,4761790,Entire home/apt,København,200,5,4,1,163,1,Wonderful apt. right in the city!,55.679341,12.578085,18/03/2017
621354,3079713,Entire home/apt,København,284,4.5,14,3,149,1,"CPH3: Location, location, location!",55.680467,12.579829,23/03/2017
638118,2658967,Private room,København,355,4,5,1,46,1,Loft w/Bikes by Hip Jægersborggade,55.691696,12.54055,24/03/2017
4282001,20733123,Entire home/apt,København,184,4.5,4,1,63,1,Welcome to Sundbyvestervarehus B&B,55.653651,12.60809,29/03/2017
6789553,35544064,Entire home/apt,København,166,5,6,0,186,1,Live in the heart of Copenhagen,55.682689,12.574366,30/03/2017
6503672,7370115,Entire home/apt,København,170,4.5,4,1,116,1,"Cosy and central, like a hotel ;-)",55.669776,12.547094,31/03/2017
338992,799887,Private room,København,215,4.5,1,1,62,1,Room with a view over the lakes,55.672963,12.555011,31/03/2017
2762373,5335950,Entire home/apt,København,228,4.5,4,1,122,1,Unique and Perfect spot!,55.665637,12.55086,2/04/2017
2962012,15117067,Entire home/apt,København,165,4.5,3,1,132,1,Perfectly located bright apartment,55.669881,12.553665,4/04/2017
916737,1119904,Entire home/apt,København,154,4.5,2,1,113,1,LUXURY APPARTEMENT IN COPENHAGEN,55.641479,12.58703,5/04/2017
976738,1733709,Private room,København,190,4.5,2,1,38,1,Private Entrance -  Historic House :-),55.664345,12.504522,8/04/2017
341378,1731726,Entire home/apt,Esbjerg,151,4.5,4,1,79,1,"Domehouse, Kuppelhusetesbjerg.dk",55.49617,8.401755,8/04/2017
3135758,11220679,Private room,København,147,5,2,1,77,1,Unique: Clean and Bright Guest Room in Best Area,55.689426,12.557463,10/04/2017
