country,happiness_2015,income_2015
Afghanistan,39.8,1770
Albania,46.1,11000
Algeria,NA,13800
Argentina,67,19200
Armenia,43.5,8170
Australia,73.1,44100
Austria,70.8,44300
Azerbaijan,51.5,16800
Bahrain,60.1,43900
Bangladesh,46.3,3230
Belarus,57.2,17200
Belgium,69,41800
Benin,36.2,1990
Bolivia,58.3,6440
Bosnia and Herzegovina,51.2,11300
Botswana,37.6,15700
Brazil,65.5,14800
Bulgaria,48.7,17000
Burkina Faso,44.2,1600
Burundi,NA,716
Cambodia,41.6,3290
Cameroon,50.4,3220
Canada,74.1,43100
Central African Republic,NA,703
Chad,43.2,2050
Chile,65.3,22300
China,53,13500
Colombia,63.9,13100
Comoros,NA,2490
"Congo, Dem. Rep.",39,812
"Congo, Rep.",46.9,5700
Costa Rica,68.5,14600
Cote d'Ivoire,44.5,3230
Croatia,52.1,21000
Cyprus,54.4,30700
Czech Republic,66.1,30600
Denmark,75.1,45800
Dominican Republic,50.6,13700
Ecuador,59.6,10700
Egypt,47.6,10200
El Salvador,60.2,6980
Estonia,56.3,27600
Eswatini,NA,9270
Ethiopia,45.7,1520
Finland,74.5,39100
France,63.6,37800
Gabon,46.6,16700
Gambia,NA,1480
Georgia,41.2,9010
Germany,70.4,44000
Ghana,39.9,3790
Greece,56.2,24100
Guatemala,64.6,7290
Guinea,35,1860
Haiti,35.7,1650
Honduras,48.5,4250
"Hong Kong, China",NA,53600
Hungary,53.4,25100
Iceland,75,44200
India,43.4,5740
Indonesia,50.4,10400
Iran,47.5,16700
Iraq,44.9,15000
Ireland,68.3,60500
Israel,70.8,32100
Italy,58.5,34300
Jamaica,NA,8050
Japan,58.8,37800
Jordan,54,8410
Kazakhstan,59.5,23500
Kenya,43.6,2800
Kuwait,61.5,70300
Kyrgyz Republic,49.1,3230
Lao,NA,5690
Latvia,58.8,23000
Lebanon,51.7,11900
Lesotho,NA,2870
Liberia,27,1230
Libya,56.2,14400
Lithuania,57.1,27000
Luxembourg,67,93700
Madagascar,35.9,1380
Malawi,38.7,1140
Malaysia,63.2,25400
Maldives,NA,12700
Mali,45.8,1920
Malta,66.1,34500
Mauritania,39.2,3720
Mauritius,NA,18900
Mexico,62.4,17500
Moldova,60.2,5700
Mongolia,49.8,11300
Montenegro,51.2,15300
Morocco,51.6,7330
Mozambique,45.5,1160
Myanmar,42.2,5030
Namibia,NA,10400
Nepal,48.1,2460
Netherlands,73.2,46900
New Zealand,74.2,35200
Nicaragua,59.2,4850
Niger,36.7,903
Nigeria,49.3,5690
North Macedonia,49.8,12800
Norway,76,64000
Pakistan,48.2,4460
Palestine,47,4490
Panama,66.1,20800
Paraguay,55.6,11100
Peru,55.8,12100
Philippines,55.5,6850
Poland,60.1,25300
Portugal,50.8,26600
Romania,57.8,20700
Russia,60,24500
Rwanda,34.8,1770
Saudi Arabia,63.5,50500
Senegal,46.2,3000
Serbia,53.2,14300
Sierra Leone,49.1,1330
Singapore,66.2,83300
Slovak Republic,61.6,28400
Slovenia,57.4,29000
South Africa,48.9,12400
South Korea,57.8,34200
South Sudan,40.7,1910
Spain,63.8,32400
Sri Lanka,46.1,11100
Sweden,72.9,45700
Switzerland,75.7,57300
Taiwan,64.5,41700
Tajikistan,51.2,2670
Tanzania,36.6,2610
Thailand,62,15300
Togo,37.7,1470
Trinidad and Tobago,NA,31500
Tunisia,51.3,10900
Turkey,55.1,23300
Turkmenistan,57.9,15000
Uganda,42.4,1750
Ukraine,39.6,7470
United Arab Emirates,65.7,65800
United Kingdom,65.2,39000
United States,68.6,53200
Uruguay,66.3,19900
Uzbekistan,59.7,5640
Venezuela,55.7,15600
Vietnam,50.8,5610
Yemen,29.8,3110
Zambia,48.4,3680
Zimbabwe,37,2510
